"cluster"	"number_of_cells"
"0"	4855
"1"	3502
"2"	2515
"3"	1840
"4"	1701
"5"	1554
"6"	1520
"7"	1501
"8"	1433
"9"	1259
"10"	1050
"11"	1028
"12"	999
"13"	974
"14"	973
"15"	889
"16"	816
"17"	787
"18"	747
"19"	731
"20"	720
"21"	702
"22"	692
"23"	650
"24"	640
"25"	639
"26"	629
"27"	622
"28"	615
"29"	588
"30"	568
"31"	559
"32"	532
"33"	518
"34"	516
"35"	492
"36"	492
"37"	488
"38"	487
"39"	476
"40"	471
"41"	460
"42"	458
"43"	453
"44"	451
"45"	449
"46"	417
"47"	414
"48"	385
"49"	385
"50"	357
"51"	354
"52"	354
"53"	350
"54"	346
"55"	346
"56"	329
"57"	323
"58"	321
"59"	315
"60"	306
"61"	303
"62"	300
"63"	292
"64"	267
"65"	265
"66"	262
"67"	253
"68"	239
"69"	226
"70"	224
"71"	202
"72"	194
"73"	194
"74"	188
"75"	182
"76"	167
"77"	165
"78"	154
"79"	144
"80"	143
"81"	139
"82"	136
"83"	133
"84"	132
"85"	127
"86"	125
"87"	123
"88"	112
"89"	111
"90"	110
"91"	109
"92"	109
"93"	107
"94"	101
"95"	86
"96"	85
"97"	80
"98"	76
"99"	76
"100"	71
"101"	47
